Vehicle_ID,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events
CAR 18,26.5611,80.1947,124 kmh,4
 CAR-25,25.04,79.650353,142 kmh,0
 CAR-05,25.5982,77.525454,145 kmh,6
CAR-15 ,15.63,79.6745,123 kmh,3
CAR-18 ,26.721331,86.57,123 kmh,4
CAR-25,24.0468,84.29,75,2
car-20,12.72,81.42,163 kmh,2
car-14,21.8236,72.6352,127 kmh,6
car-16,19.89,82.7029,122 kmh,1
 CAR-02,13.120568,83.1031,133 kmh,6
CAR-27,18.3341,87.1492,81,1
CAR 07,18.2532,76.1082,64,0
CAR 10,27.45,74.6911,140 kmh,4
car-16,23.2402,77.14,41,2
CAR-28,12.37,78.1892,123 kmh,3
CAR-19 ,26.698302,84.210011,169 kmh,1
 CAR-28,14.1839,77.630455,100,3
CAR-23,21.3135,77.4536,128 kmh,3
CAR-16,20.194759,84.1898,122 kmh,6
CAR 03,22.069535,84.7703,63,6
CAR-12 ,18.5412,81.2397,71,0
CAR-07 ,13.17,75.0927,45,6
CAR 12,27.31,86.1415,55,4
CAR 21,24.2,75.37,125 kmh,3
CAR-23 ,25.1227,85.987885,166 kmh,0
CAR 17,26.3915,78.93,172 kmh,5
CAR-16 ,18.838,86.22,125 kmh,0
car-30,14.47,72.2636,129 kmh,1
car-06,22.21,76.5078,45,3
 CAR-15,21.433346,81.3239,61,3
 CAR-28,21.13,76.7471,95,0
CAR-15,18.5922,76.019,94,6
CAR-11 ,14.25,85.87,171 kmh,2
CAR-10 ,15.184183,81.515405,172 kmh,6
 CAR-22,24.14,78.7,143 kmh,6
car-05,21.54,84.679726,69,5
CAR-04,14.17,78.491522,45,3
CAR 20,25.39,73.5153,89,2
CAR-26,24.06613,80.2275,56,1
CAR-02 ,18.9263,77.7223,68,1
car-12,23.96,72.2,60,2
 CAR-18,24.0598,75.53,160 kmh,5
 CAR-30,25.5537,76.569101,75,3
car-05,12.6061,73.0565,131 kmh,6
CAR 23,22.2,79.7599,88,2
CAR-06,27.674869,76.09,92,2
CAR-16 ,18.0836,87.628686,149 kmh,2
 CAR-03,27.0068,82.398,50,1
CAR-06,26.93,72.78247,145 kmh,6
CAR-05,24.908613,72.244882,95,0
CAR-16 ,24.13,73.435753,128 kmh,4
CAR-05,21.1156,72.750257,86,3
 CAR-16,13.75077,87.073734,140 kmh,2
CAR-02 ,22.28,80.27156,162 kmh,1
CAR-15,24.0836,76.54,172 kmh,4
CAR-13 ,19.81267,83.76,48,2
 CAR-29,27.904925,73.75,173 kmh,6
CAR-20,21.722408,77.7753,43,3
CAR 29,18.843671,87.04,95,2
CAR-22,14.041211,74.6795,158 kmh,3
CAR-01 ,25.385629,77.6,50,1
car-30,23.5504,78.297862,51,2
CAR 27,26.54,86.19,73,1
 CAR-09,23.62,77.476767,66,6
CAR-30 ,27.30368,74.54,142 kmh,6
CAR-10,22.997833,82.679645,134 kmh,0
 CAR-12,18.4959,83.72,173 kmh,5
car-28,23.552,83.45,150 kmh,6
car-09,14.6935,81.4,51,3
 CAR-01,18.6621,79.84,68,6
CAR-10 ,27.476055,86.0027,172 kmh,2
CAR-06,22.875997,72.5946,77,6
CAR-15 ,20.57,87.5761,80,5
CAR-14,26.6917,73.78,60,1
CAR-23 ,22.26,76.3021,42,5
 CAR-15,21.9214,73.04,91,1
car-28,20.5909,80.44,97,4
CAR-26 ,18.802683,77.9312,87,5
CAR-20,18.037966,87.86,100,5
 CAR-22,26.98,84.4956,132 kmh,4
car-28,13.46,83.387051,69,3
CAR-03 ,21.76,72.71,51,6
car-18,15.56,85.112017,160 kmh,2
 CAR-01,22.2,81.0543,98,6
CAR-07,13.77,78.59,80,3
CAR-16,14.419042,82.108437,180 kmh,5
CAR 14,21.288747,75.62,87,6
car-07,17.7049,74.2519,139 kmh,3
CAR 22,17.21,87.73,53,1
 CAR-23,24.86,82.6018,180 kmh,6
CAR-30 ,18.174969,72.969705,129 kmh,0
CAR-10 ,21.922456,75.91,89,3
car-02,24.135448,80.306,151 kmh,3
CAR 26,19.174,77.279099,48,3
 CAR-04,12.9312,75.085904,122 kmh,3
CAR 17,16.49143,87.0736,94,0
CAR-27,17.1315,86.644456,64,0
CAR-18,26.0,75.0858,177 kmh,4
CAR-23,20.7,74.694276,53,3
CAR 26,18.2201,74.3418,53,4
car-10,23.9067,72.25,138 kmh,6
CAR 15,23.5719,75.74,160 kmh,3
CAR-11 ,15.23184,86.071664,121 kmh,2
 CAR-09,25.614268,74.4692,92,0
CAR 29,18.13,81.206671,41,3
car-16,22.354076,79.4302,95,3
CAR 25,22.38,85.1272,150 kmh,2
car-22,17.870762,74.7408,159 kmh,6
CAR 12,14.636301,85.440885,151 kmh,5
CAR 03,13.8211,86.116047,84,4
CAR-21 ,27.5026,86.3227,94,5
 CAR-29,22.02854,85.83,141 kmh,4
CAR 20,15.5963,84.39,147 kmh,0
CAR-17,27.7563,79.3897,162 kmh,5
CAR-26 ,14.419605,78.0826,148 kmh,2
CAR 19,24.8161,79.6376,133 kmh,2
 CAR-19,25.54,84.6939,152 kmh,1
CAR-28,14.138654,81.954,135 kmh,6
CAR 16,22.503285,76.0722,143 kmh,0
CAR-15,17.316579,75.868,178 kmh,2
 CAR-03,22.848921,74.974663,155 kmh,0
CAR 08,23.229388,81.028237,78,3
CAR 29,27.2978,87.598353,71,0
car-21,23.121774,72.267428,80,3
 CAR-11,22.3021,84.0808,69,0
CAR-05,20.7419,77.247788,134 kmh,1
CAR 06,26.8929,85.1,80,2
CAR 23,15.669856,80.875,70,1
car-12,13.394616,86.3,153 kmh,6
car-26,27.07,81.85,40,4
CAR-26 ,19.72,76.93,163 kmh,0
CAR 12,16.5723,87.7813,139 kmh,2
CAR-29,13.28,81.867141,151 kmh,6
 CAR-21,23.400079,80.86,161 kmh,3
CAR-24,22.609804,73.61,150 kmh,0
CAR-03 ,25.900952,73.740828,44,4
CAR 28,12.071002,77.21,130 kmh,5
CAR-08,23.9975,81.3368,139 kmh,2
CAR-10,22.3492,86.46,162 kmh,6
 CAR-08,17.516796,73.594293,122 kmh,4
CAR-20 ,23.8661,78.905883,164 kmh,2
CAR-05,16.53,77.75,120 kmh,5
CAR-18 ,24.6,73.7458,63,6
car-17,23.08,85.377578,71,2
car-04,12.4034,78.574962,75,3
car-08,18.34,72.77,41,3
CAR-26 ,12.2,87.120392,60,1
 CAR-12,17.2174,80.4718,130 kmh,3
 CAR-20,16.355304,84.427343,61,2
CAR-22,16.4524,81.6209,52,5
CAR 08,15.9918,77.897394,163 kmh,3
CAR-02,22.31,81.755806,46,5
CAR-24,18.9348,79.5514,94,4
 CAR-29,27.779494,86.125104,62,3
CAR-13,19.33,87.42364,166 kmh,4
CAR 30,12.031,83.46206,176 kmh,4
 CAR-24,18.910893,73.907701,52,0
CAR-14,14.376536,75.54,47,2
CAR-05,23.216892,87.06,141 kmh,6
CAR-03 ,25.7378,73.32,166 kmh,5
CAR-04 ,19.534377,81.575054,49,4
car-30,18.199224,78.9836,162 kmh,4
CAR-10 ,27.655575,83.27,64,2
CAR 19,21.45,80.389515,150 kmh,3
CAR-28,24.68,86.494257,77,2
CAR-18,22.3783,82.72,88,5
CAR-26,19.8889,84.64,95,3
CAR 08,12.996983,86.1877,80,1
car-14,17.17,75.9725,69,4
car-05,13.656288,80.637216,174 kmh,5
CAR 17,12.5981,81.9887,60,0
car-08,27.7507,80.18,149 kmh,2
CAR 13,12.1024,85.8308,174 kmh,3
 CAR-07,17.8253,85.2178,63,2
CAR 25,22.798699,86.533078,137 kmh,1
CAR-03,24.93,79.711807,161 kmh,0
car-06,23.364337,79.88203,58,5
CAR-01 ,15.500851,73.330384,44,3
CAR 20,21.8054,86.32,42,3
CAR 15,22.084948,83.7821,122 kmh,5
CAR 14,12.95,80.96,166 kmh,6
 CAR-20,21.419,72.717873,44,3
CAR-01,14.57,75.19887,95,0
CAR-09,16.299188,82.081675,167 kmh,2
CAR-30 ,27.99,76.0603,137 kmh,6
CAR 18,25.3511,86.3495,129 kmh,3
CAR 06,18.786013,86.22,168 kmh,5
CAR-12,19.4108,84.2636,46,4
CAR 27,26.4811,73.91,136 kmh,3
CAR 01,15.7497,74.0246,163 kmh,5
car-04,18.540804,75.41,146 kmh,0
CAR-04 ,17.546409,75.302409,79,2
CAR-03 ,14.9548,78.3792,79,3
car-13,15.98,80.075251,56,6
CAR-27,18.84,73.42,87,4
CAR-26 ,12.3652,81.9516,83,2
CAR 03,26.787962,77.88,95,4
car-22,24.103695,82.1728,137 kmh,2
CAR-19,19.6771,81.0791,77,0
 CAR-21,26.41,79.33,152 kmh,1
CAR-05,20.6537,74.7101,63,6
CAR 15,21.943025,86.0051,74,1
 CAR-19,24.8454,78.01,68,3
CAR-21,25.22843,86.807298,128 kmh,6
CAR 23,15.031001,79.963145,96,1
 CAR-03,18.39,81.938126,43,2
car-16,16.376696,74.5837,80,4
 CAR-02,14.69,80.53,140 kmh,5
 CAR-01,27.25,84.1605,129 kmh,4
car-15,18.107573,79.6965,122 kmh,4
car-09,25.26,76.787102,158 kmh,2
CAR-29,14.9049,79.25,46,3
CAR-11,21.1197,85.4912,61,4
CAR-30 ,20.9772,83.32,71,4
 CAR-23,24.84,73.5084,136 kmh,4
 CAR-30,21.49,82.9298,149 kmh,1
CAR-10 ,24.6439,73.955,177 kmh,1
CAR 26,17.089965,80.0772,59,1
CAR 05,17.513534,85.474757,165 kmh,1
CAR 15,26.7525,80.08,165 kmh,3
CAR 04,13.45,77.558054,44,1
CAR-05,12.6994,76.178,177 kmh,6
car-08,17.431333,80.372802,158 kmh,5
 CAR-20,23.5951,75.76,161 kmh,6
car-10,24.65,82.83,40,5
CAR-24 ,13.6955,74.286,178 kmh,0
CAR 16,26.05,85.3,135 kmh,5
CAR 02,27.714862,81.928099,75,6
CAR 19,24.33,81.99822,120 kmh,4
CAR 30,14.445585,81.91,91,4
car-07,12.03,72.250993,179 kmh,0
CAR-28 ,16.2426,77.2668,152 kmh,2
car-19,15.75,85.8647,44,0
car-18,21.59805,74.724985,144 kmh,2
 CAR-03,25.816429,84.25,70,5
CAR-07 ,20.1277,72.5,47,3
CAR 14,23.809,84.258672,153 kmh,6
CAR 27,20.09,77.398041,45,1
CAR 06,25.2451,72.368299,64,1
car-06,24.5865,80.2985,162 kmh,2
 CAR-30,18.1969,78.011168,66,1
CAR-10,19.83,84.4288,161 kmh,2
CAR-22,21.5,81.4567,56,4
 CAR-12,17.5253,72.32,50,0
CAR 27,25.982386,72.6878,167 kmh,3
car-07,14.5248,74.97042,154 kmh,1
 CAR-04,17.049465,78.966,125 kmh,3
CAR-23,25.3805,82.5892,81,5
 CAR-21,18.0642,80.683,133 kmh,0
 CAR-09,15.0188,80.07,132 kmh,6
car-27,19.8617,85.3759,140 kmh,2
 CAR-06,15.7283,83.6622,146 kmh,0
CAR-25 ,19.59431,73.724,50,6
car-19,23.0987,81.45,159 kmh,0
CAR 04,17.186392,74.48,69,1
CAR-15,20.467266,85.38,68,2
 CAR-03,13.4432,75.1488,123 kmh,3
 CAR-22,12.7005,82.959235,52,5
 CAR-03,27.813417,84.898553,82,0
CAR 16,12.362247,79.51,51,6
CAR 13,18.6826,86.69,97,3
CAR 26,26.31264,82.15,92,1
CAR-16 ,13.9807,73.660086,179 kmh,0
CAR-19 ,18.565702,77.2208,55,3
 CAR-14,21.7784,83.85,172 kmh,4
CAR 19,14.4592,73.59,80,0
 CAR-26,18.22,82.83,146 kmh,4
CAR 23,15.733962,73.992908,164 kmh,1
CAR 22,19.899638,75.9,99,2
CAR 09,21.959414,72.201018,77,5
CAR-28 ,13.75,82.3238,123 kmh,4
CAR-14,20.24,81.5053,156 kmh,6
CAR 11,14.1258,78.2003,50,6
CAR-09 ,19.5725,85.98,56,0
CAR-15 ,17.903882,82.782989,147 kmh,1
CAR-12 ,15.153,76.8723,152 kmh,3
car-18,14.910416,87.811,63,1
CAR-26,24.34,74.582089,44,2
 CAR-24,25.846927,86.692104,144 kmh,6
car-17,21.383439,74.845235,69,2
CAR-01,14.76513,72.1873,125 kmh,1
CAR 23,24.771506,81.29,71,6
car-24,16.333812,82.474068,176 kmh,4
CAR-23 ,12.0816,77.4028,61,5
 CAR-01,24.73,87.933,98,0
 CAR-03,17.53,72.3837,173 kmh,4
 CAR-17,16.49,82.762551,175 kmh,0
CAR-14,18.49,87.18,90,1
CAR 24,24.241989,76.0986,171 kmh,4
 CAR-01,18.6261,74.028658,148 kmh,1
CAR-11,23.24,86.892596,127 kmh,2
CAR-25 ,18.47,76.143889,139 kmh,1
CAR-12,25.2561,78.74,89,2
 CAR-17,15.639533,76.026528,100,4
 CAR-22,27.73,73.570807,178 kmh,0
CAR 09,19.47,86.32,69,1
 CAR-20,15.23,80.7,73,6
CAR 28,24.48,74.0077,158 kmh,6
CAR-07 ,14.8377,82.172851,126 kmh,1
CAR-16 ,20.88,73.72,53,0
CAR 24,17.482767,80.521171,180 kmh,5
CAR-29 ,14.5755,79.528044,159 kmh,1
CAR 30,27.380651,81.945188,151 kmh,2
car-06,14.8256,77.92,56,5
CAR 06,27.1122,80.921685,152 kmh,5
car-29,24.95,79.723237,176 kmh,6
 CAR-30,19.47,75.9674,120 kmh,2
CAR-25,22.191463,78.7273,173 kmh,5
CAR-14 ,23.7404,81.372731,145 kmh,3
CAR-25,22.55,74.135898,164 kmh,1
car-20,14.0406,85.38,50,6
CAR-03,22.32,87.59161,59,5
 CAR-08,12.966395,76.717076,70,1
 CAR-15,20.3638,74.778673,140 kmh,5
car-17,15.872,81.38,85,0
CAR 12,24.575548,87.7728,150 kmh,2
car-27,24.3551,87.19,52,2
CAR-30,13.9407,79.6167,174 kmh,4
CAR 26,15.54,80.5169,132 kmh,3
 CAR-29,15.0328,72.2512,136 kmh,0
car-13,19.918564,77.4802,151 kmh,1
CAR 21,27.388974,74.68,123 kmh,2
CAR 08,16.88,85.56,168 kmh,3
CAR-04,24.2369,73.127025,149 kmh,4
 CAR-14,17.5,79.44,169 kmh,6
CAR-16,25.594377,82.01,158 kmh,1
car-26,14.984992,78.873899,163 kmh,0
CAR-01,26.77,86.79,57,4
CAR-23,18.6297,87.8962,97,1
car-11,13.23,79.6797,84,6
CAR-18,15.2923,73.6091,66,6
car-30,23.214388,86.9904,70,0
CAR-12,19.65,77.0226,98,6
CAR 03,20.007403,75.0382,71,0
CAR-01 ,24.5071,79.17,43,2
CAR-11,23.2223,87.131943,180 kmh,0
CAR-21,23.274108,80.2943,128 kmh,1
CAR 03,12.54,84.9845,130 kmh,0
 CAR-02,19.059703,78.968268,180 kmh,0
CAR-15 ,12.15736,75.48,79,4
CAR 21,15.689248,80.11,98,5
CAR 10,16.276598,76.99,56,0
car-12,13.42,87.894364,150 kmh,0
CAR-06,22.914876,82.8376,56,6
CAR-07 ,21.28,85.8792,135 kmh,4
 CAR-07,17.58862,72.42,166 kmh,0
CAR-13,14.3421,76.6658,157 kmh,4
CAR 07,21.467538,74.972767,160 kmh,5
car-28,17.65,73.04,74,4
CAR-23 ,18.036931,85.39,143 kmh,2
 CAR-30,23.0852,83.5281,173 kmh,4
CAR-12 ,20.4914,83.7616,67,1
car-30,17.86,79.6896,54,3
CAR 28,24.074013,82.0499,80,3
car-08,12.1424,83.38,128 kmh,2
CAR-15 ,26.500141,78.67,88,5
 CAR-10,21.42222,75.927,169 kmh,5
CAR-19 ,19.863045,82.49,166 kmh,5
CAR 22,22.11,72.22,43,5
car-05,26.2362,72.295752,173 kmh,6
car-20,16.972406,74.763206,139 kmh,5
CAR 29,18.253707,83.410738,51,4
CAR-30 ,14.0896,86.2,53,2
 CAR-13,21.8175,78.2074,76,4
CAR-05 ,13.88,86.17,164 kmh,6
car-12,23.12,79.2223,71,2
car-25,18.6183,84.45,172 kmh,4
car-24,21.296978,74.757338,162 kmh,2
 CAR-12,12.26,80.2433,96,0
CAR 25,15.96,81.2382,144 kmh,0
CAR-28 ,16.84528,87.58013,134 kmh,4
car-25,25.252544,86.424622,98,5
 CAR-05,19.752802,74.2993,65,6
car-26,27.209136,77.8961,127 kmh,2
car-27,16.56,85.8686,86,2
CAR-09 ,26.987538,82.223,129 kmh,5
CAR 20,20.547071,84.32,91,3
CAR-01,17.623793,82.721156,141 kmh,3
 CAR-09,24.1176,81.426709,96,3
CAR 09,26.8048,79.302075,162 kmh,3
car-17,18.297394,79.2396,55,1
CAR 21,26.311893,81.6404,153 kmh,0
CAR-24 ,16.922162,86.0622,122 kmh,2
CAR-09 ,17.7917,80.99,174 kmh,2
CAR-01,24.6426,86.81,123 kmh,0
 CAR-22,26.71,73.88,40,2
CAR 01,27.8973,84.45,145 kmh,5
 CAR-01,14.8276,75.72,66,5
CAR-24 ,26.523536,86.43,140 kmh,2
CAR-06 ,14.58,74.655003,64,4
 CAR-25,14.0064,75.1214,161 kmh,4
CAR-13 ,20.5142,74.7111,154 kmh,0
CAR-19,22.27,77.56,129 kmh,4
CAR-28 ,21.4274,84.2873,81,1
car-21,13.12512,84.97,82,1
CAR-24 ,16.08,77.37,143 kmh,6
CAR 23,27.705396,80.2761,163 kmh,0
car-07,14.5,79.6597,153 kmh,5
 CAR-21,14.660141,73.867502,173 kmh,2
CAR-25 ,15.91342,81.3588,155 kmh,0
CAR 26,25.45,79.72,100,5
CAR 13,25.9451,74.26,49,2
car-21,19.83,86.028048,179 kmh,5
 CAR-29,15.77,74.1166,143 kmh,2
car-10,26.57,85.812978,65,1
CAR-22 ,15.4893,76.103,164 kmh,2
CAR-11 ,23.267372,84.3451,88,6
car-28,13.24,82.41,53,0
 CAR-18,27.703276,84.918661,89,2
car-22,24.0183,87.1309,53,2
CAR-26 ,16.236452,79.823231,51,4
CAR 06,14.73,76.59,62,6
CAR-13,20.6732,74.0228,97,6
car-29,22.3765,82.39,121 kmh,0
CAR-28,23.45,83.558608,96,4
CAR-20 ,16.57,87.3452,78,1
CAR-14,26.3623,85.7449,144 kmh,1
car-06,15.91,82.553544,148 kmh,6
 CAR-22,12.5,84.8448,133 kmh,5
CAR-17,12.98,86.2217,169 kmh,1
car-06,13.3,81.347144,169 kmh,5
CAR-05 ,15.003,81.0,69,3
CAR-16,15.4397,81.7576,90,5
 CAR-07,26.961972,72.22,60,4
 CAR-11,27.071234,85.961314,74,6
car-19,16.39,73.03772,157 kmh,2
 CAR-29,25.556195,83.81,180 kmh,3
CAR-24 ,13.71,78.71,135 kmh,5
CAR-19,22.6777,79.2,51,6
car-21,27.058148,84.3378,132 kmh,3
car-09,18.8596,84.9,75,2
CAR-24 ,27.37,79.552735,179 kmh,2
CAR-24 ,23.489866,81.8266,156 kmh,1
CAR-27 ,19.854556,85.9932,58,5
CAR-04,26.46076,79.2623,142 kmh,4
CAR 16,24.58,76.7041,133 kmh,0
CAR-05,25.56,83.62,165 kmh,6
CAR-08,12.057319,81.85,165 kmh,1
 CAR-29,24.66,82.323075,41,6
CAR-27,21.141,82.61,63,0
car-05,12.49,74.3,75,0
CAR-23,21.18,84.07,47,2
CAR-10 ,17.181409,86.32853,149 kmh,5
CAR 22,23.546655,80.04,48,2
CAR 24,22.17,74.1672,98,3
CAR-06,22.601919,74.77,169 kmh,6
car-24,27.1545,76.71519,120 kmh,3
 CAR-26,17.30049,76.31,176 kmh,2
CAR 07,21.292374,75.633335,145 kmh,6
 CAR-25,20.76,86.5891,42,4
CAR-19 ,15.99,79.935117,90,0
CAR 17,14.930322,84.547,74,2
CAR-04,14.84,81.6131,50,6
CAR-09 ,22.99,78.347831,171 kmh,4
CAR-12,15.23,82.78,169 kmh,6
CAR 06,24.3778,87.06,62,4
CAR-25 ,22.4194,84.733516,86,5
car-21,25.2287,85.963385,152 kmh,3
car-09,12.85,72.234398,147 kmh,3
 CAR-11,14.7,77.6,152 kmh,3
 CAR-11,12.87,82.084,171 kmh,0
car-02,15.22,83.23,45,5
 CAR-10,14.1722,73.13,91,3
CAR-18 ,27.6126,73.776,146 kmh,6
CAR-04 ,12.9302,79.970602,74,4
CAR-14 ,24.8101,74.14,41,4
CAR 27,18.615886,74.3983,130 kmh,5
car-24,23.77,76.541325,144 kmh,0
CAR-07,23.46,76.0543,146 kmh,3
car-06,20.691212,73.48,82,3
CAR-04 ,14.0681,83.3937,121 kmh,3
CAR-07 ,19.5297,84.04,94,6
car-01,15.4,81.097894,125 kmh,4
 CAR-09,21.97818,81.256341,125 kmh,5
CAR-13,15.49,78.58,166 kmh,4
car-15,24.9,81.646947,167 kmh,5
CAR-08,15.71,80.6542,82,6
 CAR-13,12.12,79.744,175 kmh,4
CAR-26 ,24.511,76.382698,96,5
CAR-30 ,16.928218,82.8302,127 kmh,5
 CAR-11,15.447857,86.28,151 kmh,6
CAR-05,24.841289,83.57,180 kmh,4
 CAR-09,12.2,80.8698,97,3
CAR-22,21.310418,77.04,143 kmh,1
car-22,15.54,74.59,165 kmh,2
 CAR-25,25.8678,75.754885,57,4
CAR 28,24.8251,78.866,95,6
CAR-12 ,27.707228,87.42,177 kmh,0
car-13,23.67,76.22,145 kmh,3
 CAR-04,25.863167,86.413655,48,0
CAR-24,23.29723,76.4,124 kmh,2
CAR-22 ,12.265472,82.676751,45,5
