Vehicle_ID,Odo_Start,Odo_End,Fuel_Level,Damage_Flag
 CAR-20,"118,633km","118,956km",0.54,0
car-27,"70,663km",71846,80%,0
car-03,"117,964km",118118km,0.60,0
car-26,"65,511km","67,029km",93%,1
CAR-14,87066,87146km,0.42,0
car-23,"28,614km",29240,0.5,0
CAR-13 ,"13,817 km",15214,0.80,0
car-11,68501,69241km,0.63,0
CAR 13,"7,161 km","8,570 km",56%,0
car-11,"111,188 km",112948,68 %,0
 CAR-11,"51,602km",53325,0.58,0
CAR-03 ,89555,90615,51 %,1
car-20,114510,115119km,0.80,0
CAR-17 ,68937km,69241km,90%,0
 CAR-26,101153km,101867,0.8,0
CAR 12,16527km,17122,24 %,0
CAR-15 ,"36,632 km",37754,0.3,1
CAR 12,"94,017km","95,826km",35 %,0
CAR 27,"87,132 km",87312km,0.1,0
CAR-08 ,115199km,115484km,0.32,0
car-13,"43,209km",44042km,17 %,0
car-28,"38,272 km","38,988km",0.10,1
CAR 07,"91,460 km","92,577km",6%,0
CAR-12,41749,"42,522km",7%,0
CAR-05,"43,576km",44609km,0.55,0
CAR 05,12530km,13176km,0.68,0
CAR-27,11773km,"13,309 km",34%,0
CAR-24,"114,412 km",114997km,91%,0
car-14,"106,154km","106,468 km",27 %,0
car-11,"53,904 km",54519,0.32,1
CAR-23 ,"55,995 km",57652,19%,1
CAR-23,"30,148km",30690,24 %,0
car-08,"71,294km","71,716 km",38 %,0
 CAR-25,24776,24549,63%,0
CAR-27 ,75907,77589km,78 %,0
 CAR-15,110754,"111,988km",66%,1
CAR-27 ,"103,523km","105,295km",45 %,0
CAR 19,"119,798 km","120,374 km",52 %,0
CAR-23,"98,452 km",98233,0.1,1
CAR-17 ,72288,73470km,0.09,0
CAR 03,94550km,95837km,30 %,0
CAR-02 ,"55,574 km",57253,1.0,0
CAR-12 ,"42,854 km","44,704 km",60 %,0
CAR-10 ,"81,218 km",82093km,0.44,0
car-08,"63,388 km","64,438km",0.81,0
CAR 05,29048km,30528km,0.8,0
CAR-21 ,117941,117984,24 %,0
car-10,"43,378km",44416,0.2,1
car-24,115324km,"115,497km",0.99,0
car-30,71562km,72368,0.7,0
CAR 12,"35,653km",36458,0.27,0
car-10,"16,628 km",17608km,0.3,0
car-06,45229km,46413,0.43,0
CAR-17 ,"111,452km","113,064 km",0.8,0
CAR-10,"97,921km",98277km,88 %,1
car-23,18194km,"18,936 km",0.5,0
 CAR-21,38117,"39,544km",91 %,0
car-01,"8,748km","9,041km",0.21,0
 CAR-17,29012km,30097km,28%,0
car-14,83741,"84,221km",0.3,0
CAR-03,"102,199 km",102485km,42%,0
CAR-28 ,31606,32068,63 %,1
car-03,21660,21820km,0.1,0
 CAR-26,23018km,"24,672 km",81 %,0
car-19,"106,476km",108195,76 %,1
CAR-27,"101,867 km","103,031km",94%,0
CAR 18,"100,524 km",101004,0.4,0
 CAR-25,79178km,"81,019 km",79 %,0
 CAR-05,75110,"76,721 km",89 %,0
CAR-15 ,"84,981km","85,630km",90%,1
CAR-18 ,"109,030km","109,747 km",0.50,0
CAR-25,"118,162km","118,781km",42 %,1
car-20,"51,475km",52884km,46%,0
car-14,"115,836 km",117074km,50 %,0
car-16,55865,"56,928 km",0.8,0
 CAR-02,44844km,46244km,19%,0
CAR-27,49202,50941,0.12,0
CAR 07,64123km,"65,263 km",0.08,0
CAR 10,44806,"46,371km",0.77,0
car-16,39120km,40741km,48%,1
CAR-28,"109,232km","109,368km",0.9,1
CAR-19 ,"5,953 km",6762km,65%,0
 CAR-28,59669km,60258,40 %,0
CAR-23,"9,934km",10564km,93 %,0
CAR-16,"9,261 km","10,925km",0.41,0
CAR 03,93853,93753km,0.98,0
CAR-12 ,"82,316km",83610,0.05,0
CAR-07 ,86519,"87,391 km",0.24,1
CAR 12,40999km,"42,027 km",87%,1
CAR 21,"117,164km","117,067km",0.9,0
CAR-23 ,"103,582 km",104861km,75 %,0
CAR 17,66716km,"68,169 km",25 %,0
CAR-16 ,103390,103855km,0.8,0
car-30,"34,038km","34,112km",1.0,0
car-06,99883km,"100,447 km",75 %,0
 CAR-15,97124,97675km,0.4,0
 CAR-28,88375,"89,686km",45%,0
CAR-15,41099,41480,0.18,1
CAR-11 ,"54,237km",54982,0.47,0
CAR-10 ,"79,149 km","80,098 km",77 %,0
 CAR-22,42337km,44142,0.82,0
car-05,"81,126 km",80727,0.6,1
CAR-04,108716km,108730,41%,1
CAR 20,"89,835 km","90,827km",57%,0
CAR-26,"44,993km","46,231km",87 %,0
CAR-02 ,64807,64921km,0.7,0
car-12,"53,652 km","55,456 km",11%,1
 CAR-18,17992km,"18,483 km",0.8,0
 CAR-30,"92,635 km","93,239 km",0.24,0
car-05,98279km,99954km,0.49,0
CAR 23,16266km,17280,0.8,0
CAR-06,29149km,"29,819 km",0.79,1
CAR-16 ,"20,121 km","21,226 km",0.7,0
 CAR-03,"49,371 km",51315,0.8,0
CAR-06,45344,45619km,0.89,0
CAR-05,12384,"14,373 km",100%,0
CAR-16 ,93742,94833,0.56,1
CAR-05,27106km,"28,086km",97 %,1
 CAR-16,"46,152 km",46949,50 %,1
CAR-02 ,36480km,36552km,40 %,0
CAR-15,37827,"39,435 km",0.2,0
CAR-13 ,"40,015km","40,123km",52 %,0
 CAR-29,"82,363km",82628km,0.58,1
CAR-20,44244,"45,108km",0.49,0
CAR 29,"106,098 km","107,917km",30%,1
CAR-22,"117,870km","119,279 km",62%,1
CAR-01 ,"90,874 km",90659,0.8,0
car-30,81032,"82,956km",0.3,0
CAR 27,55895,56549km,94%,0
 CAR-09,74904km,74461,79 %,1
CAR-30 ,81011km,"82,220 km",0.5,0
CAR-10,"40,366km",41434,75%,0
 CAR-12,111640km,111740,62 %,0
car-28,"81,703km","81,278km",98%,0
car-09,"60,867km","62,385 km",94%,0
 CAR-01,"24,142km",25349km,0.4,0
CAR-10 ,"74,261km",74422km,8 %,0
CAR-06,"44,804 km","45,031km",0.1,0
CAR-15 ,21041km,"22,726 km",41%,0
CAR-14,106766km,"107,740km",41 %,0
CAR-23 ,32960,33099,20%,0
 CAR-15,"38,107 km",39072,0.3,1
car-28,33935km,"34,494km",15%,0
CAR-26 ,59919km,60630,0.29,0
CAR-20,102104km,103418,41 %,0
 CAR-22,16968km,"18,336 km",43 %,0
car-28,5784km,7553,0.95,0
CAR-03 ,"82,117 km",82541,84 %,1
car-18,"58,152 km","58,212 km",0.86,1
 CAR-01,109407,109677km,32 %,0
CAR-07,"37,436km","38,421 km",0.44,1
CAR-16,58843,"59,457km",0.3,0
CAR 14,"97,655km",97953km,0.3,0
car-07,62112km,63239km,0.58,0
CAR 22,89558km,90959km,0.12,0
 CAR-23,"73,966 km",75344km,1.0,0
CAR-30 ,75251,76570km,59%,0
CAR-10 ,"47,890km",47391,0.75,1
car-02,13801,14252km,0.85,0
CAR 26,"55,971km","55,784km",0.05,0
 CAR-04,"15,102km",15606,41 %,1
CAR 17,40653km,"41,898km",0.88,1
CAR-27,6317km,"6,691 km",0.79,0
CAR-18,"93,012km","94,656 km",0.3,0
CAR-23,"19,080km","20,922 km",59 %,1
CAR 26,29870km,29655km,39 %,1
car-10,"77,896 km","79,090 km",30%,0
CAR 15,6613,8484km,43%,0
CAR-11 ,"83,860 km","84,998 km",0.9,0
 CAR-09,"107,216km","107,462km",27 %,0
CAR 29,"36,832 km","37,629km",97 %,0
car-16,"77,870km",79367,0.4,0
CAR 25,10664km,11605,16 %,0
car-22,108375km,109253km,0.2,0
CAR 12,73843,"74,909 km",0.46,0
CAR 03,"115,617km","116,701km",77%,1
CAR-21 ,"25,122km",25278km,24%,0
 CAR-29,"116,285 km","117,211 km",0.76,0
CAR 20,46399km,48092,26 %,0
CAR-17,49358,49882km,6%,1
CAR-26 ,"111,321km","111,504 km",0.9,0
CAR 19,83888,84324,72 %,0
 CAR-19,72779km,74613km,30%,0
CAR-28,"92,689km",93676km,94 %,0
CAR 16,33771,"35,638km",0.90,1
CAR-15,"39,353 km",41044km,0.89,1
 CAR-03,109010km,110792km,40%,0
CAR 08,65470,67238,0.2,0
CAR 29,"82,383 km","83,780 km",0.10,0
car-21,"10,989 km",11511km,53%,0
 CAR-11,"119,145km",120319km,8 %,0
CAR-05,"80,847km",81727km,52 %,0
CAR 06,20215km,21521,0.05,0
CAR 23,59014,60180km,14 %,1
car-12,"87,633km",89136,50%,0
car-26,"36,746km",37863,0.55,0
CAR-26 ,"76,654 km",76847,33%,0
CAR 12,"25,752 km","26,770km",24 %,0
CAR-29,31809km,32745km,25 %,0
 CAR-21,101171,102476,0.3,0
CAR-24,"21,616 km",23083,68%,0
CAR-03 ,"67,682 km",67812,0.4,0
CAR 28,"93,764km","95,148 km",0.81,0
CAR-08,104064,"104,495 km",0.4,0
CAR-10,"119,510km","119,537 km",0.9,0
 CAR-08,"101,302km",102375,47 %,0
CAR-20 ,"54,648km",55374,98 %,0
CAR-05,112591,114380,0.38,0
CAR-18 ,36922km,37420km,0.5,0
car-17,31748,"32,375km",78%,0
car-04,"25,977 km",26263km,28 %,0
car-08,"118,850 km","120,715km",56%,0
CAR-26 ,15465,16847km,0.7,0
 CAR-12,"89,045 km",89248,0.6,0
 CAR-20,34009km,34152km,0.80,0
CAR-22,"16,787 km",17590km,85 %,1
CAR 08,"57,751km","58,965km",0.5,0
CAR-02,"17,302km","19,211km",35%,0
CAR-24,55258,"56,789km",0.64,0
 CAR-29,"59,004km",60408km,64%,0
CAR-13,"24,977 km",24943km,0.12,0
CAR 30,"119,915 km","119,927km",0.7,0
 CAR-24,92289km,"93,107km",28 %,0
CAR-14,"73,153km","73,796 km",18 %,1
CAR-05,"103,077 km",103448,9%,0
CAR-03 ,"73,462km","75,034km",0.12,0
CAR-04 ,"60,154 km",61117km,0.8,0
car-30,"110,302 km","111,596km",0.5,0
CAR-10 ,"59,120 km","59,433 km",54 %,0
CAR 19,83811,"85,688 km",35%,0
CAR-28,47354km,"49,076km",0.60,0
CAR-18,"27,607 km","28,789 km",0.1,1
CAR-26,98726km,"99,920 km",0.88,0
CAR 08,"71,572km",73060,0.71,0
car-14,"85,098km","85,124 km",0.17,0
car-05,"20,946km","22,469km",1.0,0
CAR 17,14900,15676,99 %,0
car-08,"61,585km","62,243km",0.70,0
CAR 13,"43,634km","45,224 km",76 %,0
 CAR-07,"106,204 km",107379km,0.14,0
CAR 25,"23,877km",25613,0.55,0
CAR-03,112584,"113,366km",39%,0
car-06,29059km,"29,698 km",38 %,0
CAR-01 ,"78,967 km","80,236 km",13%,0
CAR 20,"76,384 km","77,027 km",0.8,0
CAR 15,80953,"82,619 km",0.17,1
CAR 14,13548km,13828,0.3,1
 CAR-20,26935km,"27,441km",0.76,0
CAR-01,"15,093 km",16601km,0.40,0
CAR-09,"43,214km","43,590km",0.65,0
CAR-30 ,84257,"84,195 km",38%,0
CAR 18,5877km,"6,821 km",0.9,0
CAR 06,"22,779 km",22843km,0.1,0
CAR-12,"41,544km","42,147km",0.12,0
CAR 27,"39,475km","40,979km",0.5,0
CAR 01,53356,"53,696km",32%,1
car-04,"70,046km",71983,0.5,0
CAR-04 ,"13,383km",15325,0.46,0
CAR-03 ,109460km,"111,422km",32 %,0
car-13,55930,56921km,0.4,0
CAR-27,104517,106384,0.67,0
CAR-26 ,26996km,"28,985 km",0.3,1
CAR 03,24400,"26,139 km",27%,0
car-22,33610km,"35,360 km",80%,0
CAR-19,23935,"24,313km",38 %,1
 CAR-21,"48,991km",50585km,0.7,0
CAR-05,"26,100km","27,060 km",11%,0
CAR 15,109222km,"109,980km",0.5,0
 CAR-19,"27,042km","27,854km",60%,0
CAR-21,"115,919 km",116069km,89%,0
CAR 23,"64,436 km","66,139 km",1.0,1
 CAR-03,"91,442 km","91,936 km",82 %,0
car-16,110775km,"112,604km",0.4,1
 CAR-02,"48,500 km","49,439 km",79%,1
 CAR-01,"107,298km",107603km,74%,1
car-15,"33,756km","35,408km",34 %,0
car-09,41838,"42,704km",40 %,1
CAR-29,50154,51583,24%,0
CAR-11,"75,433 km",76819km,30 %,0
CAR-30 ,78748,80104,85%,0
 CAR-23,97355km,98762,55 %,0
 CAR-30,"118,106km",119522km,0.94,0
CAR-10 ,"31,138 km","32,463 km",77%,1
CAR 26,24622km,"26,296km",0.5,0
CAR 05,23191km,"24,739km",0.6,0
CAR 15,55840,"57,752 km",61%,0
CAR 04,90438,"91,766km",0.97,0
CAR-05,"116,191km",116727km,10 %,0
car-08,"67,598km","68,073 km",0.82,0
 CAR-20,"75,887 km","77,135km",0.80,0
car-10,17490,"19,105 km",49%,1
CAR-24 ,32338km,"33,602km",0.3,1
CAR 16,"54,496km","56,413 km",11%,1
CAR 02,85511km,86335,83 %,1
CAR 19,60144,"60,488km",0.87,1
CAR 30,13707km,13990km,16 %,0
car-07,43357,"43,540km",0.84,0
CAR-28 ,42945km,"43,502km",0.71,0
car-19,95638km,97329km,27 %,0
car-18,100141km,100524,0.1,0
 CAR-03,"70,541 km","72,021 km",30 %,0
CAR-07 ,"79,172 km",78830km,0.5,0
CAR 14,34538,"36,385 km",88%,0
CAR 27,21246,22836km,98%,0
CAR 06,57036,58937,54%,0
car-06,87760km,88816km,0.69,0
 CAR-30,"30,845 km",31105,1.0,0
CAR-10,66708km,67721km,0.45,0
CAR-22,"85,576km","86,415km",52%,1
 CAR-12,"72,823km",74759,49 %,0
CAR 27,36964,37833,0.34,0
car-07,"79,094km",79432km,0.26,0
 CAR-04,84149,"85,600 km",0.54,0
CAR-23,45044,"46,850km",0.6,0
 CAR-21,36567km,37809km,47 %,0
 CAR-09,"15,830km","17,273 km",1.0,0
car-27,118866km,119487km,11%,0
 CAR-06,"95,873km","96,873 km",0.2,0
CAR-25 ,"19,376 km",21017,46%,1
car-19,103175,"104,996km",0.2,0
CAR 04,"16,703 km","17,202 km",0.1,0
CAR-15,82794km,"84,675 km",51 %,0
 CAR-03,"46,212 km",47598km,0.46,1
 CAR-22,"48,202km","48,736 km",0.15,0
 CAR-03,101643,"101,842 km",0.06,0
CAR 16,"57,033km","58,575 km",0.38,0
CAR 13,40528,"40,595km",44 %,0
CAR 26,96255,"97,971 km",34%,1
CAR-16 ,"53,165km","54,776 km",94%,1
CAR-19 ,"119,878km","121,655 km",88 %,0
 CAR-14,"53,327 km","54,298 km",26%,0
CAR 19,"25,741km",25421km,0.3,0
 CAR-26,"119,566km",121115,45%,0
CAR 23,28949,"30,334 km",32%,0
CAR 22,"45,625km",45635km,31%,0
CAR 09,"69,731 km","70,031 km",96 %,0
CAR-28 ,"112,091km","111,860 km",83 %,0
CAR-14,23778,"23,632 km",9 %,0
CAR 11,13111,13960km,75 %,0
CAR-09 ,"56,569km",57930km,31 %,0
CAR-15 ,28161km,29374km,0.30,0
CAR-12 ,"95,510 km",95609,77 %,0
car-18,"118,296km",118422,0.64,1
CAR-26,"11,651km","12,774km",70%,0
 CAR-24,88576,"90,283km",40 %,1
car-17,65780,66831km,85 %,1
CAR-01,98372km,98500,23%,0
CAR 23,"64,004km",65667km,97 %,0
car-24,"107,233 km",107865km,21%,0
CAR-23 ,21074km,21891km,0.59,0
 CAR-01,90914km,"90,543 km",32 %,0
 CAR-03,"84,932 km","86,827km",0.76,0
 CAR-17,112338km,113905km,84%,1
CAR-14,"78,639km","78,926km",0.70,0
CAR 24,"45,991km","46,052 km",99%,0
 CAR-01,"85,755 km",86865km,84 %,1
CAR-11,"93,523 km","94,303km",82 %,1
CAR-25 ,"55,162km",55677km,0.31,0
CAR-12,"15,105km",15743km,0.6,0
 CAR-17,45950km,47244km,0.38,0
 CAR-22,"64,890 km","64,907 km",38%,0
CAR 09,"79,919km","81,632km",74 %,0
 CAR-20,"32,030km",32229,0.41,1
CAR 28,39593,40209km,41 %,0
CAR-07 ,"117,109km","116,695 km",81 %,0
CAR-16 ,"96,741 km",98320,0.1,0
CAR 24,76242km,76610km,0.4,0
CAR-29 ,"96,257 km","96,578 km",8 %,0
CAR 30,56925km,56551km,0.22,0
car-06,"9,369km","9,963 km",0.4,0
CAR 06,110142,110699km,0.4,0
car-29,113457,"115,194km",0.37,0
 CAR-30,23006,23087,78 %,0
CAR-25,24993,25627km,21%,0
CAR-14 ,"48,647 km",50520km,28%,0
CAR-25,"37,998km","38,900km",0.59,0
car-20,70580km,71216km,5 %,0
CAR-03,21415,"22,017km",0.07,0
 CAR-08,"45,796 km","47,691 km",73 %,0
 CAR-15,"55,665km",57592km,56 %,1
car-17,"41,730 km","42,085 km",0.9,0
CAR 12,"51,905km","52,366km",56 %,0
car-27,"7,043km","7,177 km",0.8,0
CAR-30,99042km,99683,0.6,0
CAR 26,"81,841 km","82,529 km",26 %,0
 CAR-29,26671km,27007,53 %,0
car-13,"85,034km","85,745 km",46%,0
CAR 21,48333,50177km,0.5,0
CAR 08,"102,689 km","102,956km",41%,0
CAR-04,51146km,52772km,0.57,0
 CAR-14,8506,9101km,0.77,0
CAR-16,"78,379km",78918,0.19,0
car-26,"86,334 km","88,214km",79 %,1
CAR-01,67843km,"68,779 km",9 %,0
CAR-23,"62,273km",63526,0.55,0
car-11,"20,611km",22098km,46%,0
CAR-18,21605km,22183,0.1,0
car-30,73093,"74,916 km",0.2,0
CAR-12,"87,455 km",89044km,87%,0
CAR 03,"114,139 km",114925,46 %,0
CAR-01 ,95001,"96,547 km",83%,0
CAR-11,74037,"74,107km",92 %,0
CAR-21,27519km,27910,0.8,0
CAR 03,67121,"69,094 km",0.8,0
 CAR-02,"16,969km","18,057 km",80%,1
CAR-15 ,39242,41100,28 %,0
CAR 21,43709km,"45,473km",25 %,0
CAR 10,"13,133 km","12,878 km",25%,0
car-12,13045,13478km,25 %,0
CAR-06,30441km,32105,0.89,0
CAR-07 ,81759km,"83,705 km",0.6,0
 CAR-07,32400,33915,6 %,0
CAR-13,"101,263 km",102081,0.8,0
CAR 07,49013,"50,555 km",75 %,1
car-28,49017,48813,0.20,1
CAR-23 ,"87,542 km",88359km,21%,1
 CAR-30,"96,270 km",96626,0.6,1
CAR-12 ,"38,320km","38,109 km",0.9,0
car-30,"56,865km","57,668 km",0.4,0
CAR 28,"46,390 km","47,141km",1.0,0
car-08,"99,432 km",98959km,14 %,0
CAR-15 ,"51,070 km",53040,56 %,0
 CAR-10,"14,803km",16339km,17%,0
CAR-19 ,68642,70190km,0.83,0
CAR 22,"9,570 km","10,884 km",90%,0
car-05,85937km,86459km,13 %,0
car-20,"78,803 km",80610,86 %,1
CAR 29,"93,201 km",93675km,0.91,0
CAR-30 ,68579km,"69,243 km",0.3,0
 CAR-13,8606km,"10,282km",0.97,1
CAR-05 ,33713,"34,359km",97%,1
car-12,"90,650km","90,156 km",0.74,1
car-25,"55,890km","57,069 km",8 %,1
car-24,"62,913km","64,115km",96 %,0
 CAR-12,28719,30049,0.6,0
CAR 25,"39,998km",40640km,0.67,1
CAR-28 ,"112,801 km",113423,11 %,0
car-25,"24,400km","24,732km",0.33,0
 CAR-05,107963km,108355km,65 %,0
car-26,106724,"106,750km",55%,0
car-27,43484km,44076,88%,0
CAR-09 ,"20,900 km",21864,0.9,0
CAR 20,8244,9825km,0.5,0
CAR-01,"20,298 km","21,520km",0.9,0
 CAR-09,"32,059 km","32,659 km",71 %,1
CAR 09,"96,570km","97,365km",96%,0
car-17,"93,532 km",94817,0.80,0
CAR 21,"15,114 km",16230,7 %,0
CAR-24 ,71630km,"73,201km",5 %,1
CAR-09 ,38604,40527km,0.7,0
CAR-01,104938km,"106,280 km",14%,0
 CAR-22,18458km,"18,157km",0.3,0
CAR 01,19888,"20,592km",0.1,0
 CAR-01,"106,381km","107,121km",69%,0
CAR-24 ,96043,96160km,0.4,0
CAR-06 ,"48,760km","49,278km",0.4,0
 CAR-25,"72,163km","73,763 km",93%,1
CAR-13 ,"109,222 km",109989,0.79,0
CAR-19,"13,000km",14803,0.1,1
CAR-28 ,"109,143 km",110164,0.78,0
car-21,"16,693 km",17782,97 %,1
CAR-24 ,"117,499km","118,331km",78%,0
CAR 23,"41,126km","41,436 km",0.7,0
car-07,"55,965km","57,241km",0.4,0
 CAR-21,"23,402 km",24376,52%,1
CAR-25 ,"73,911 km",74312,0.4,0
CAR 26,"110,710 km",112157,66 %,0
CAR 13,"41,664 km",43542km,25%,0
car-21,43260km,44962km,0.3,0
 CAR-29,"43,767 km",43930km,81 %,0
car-10,100689km,"101,598km",0.8,1
CAR-22 ,"77,037km",78519,0.68,0
CAR-11 ,"83,119 km",83999,84 %,0
car-28,6405,"6,955km",0.5,1
 CAR-18,"36,111km","36,707km",0.56,0
car-22,31742,"32,681km",0.37,0
CAR-26 ,62318km,63169km,1.0,0
CAR 06,7995,9381,0.54,0
CAR-13,44959km,46239km,0.44,1
car-29,70350,"72,194 km",0.60,1
CAR-28,45607km,47241,51 %,0
CAR-20 ,72876km,74286km,82%,0
CAR-14,39516,40629km,64 %,1
car-06,"86,092km",87899km,44%,0
 CAR-22,97053km,"97,976 km",0.62,0
CAR-17,85111km,"85,683 km",0.33,1
car-06,103387km,103438km,0.8,0
CAR-05 ,"97,055 km",97611,79%,1
CAR-16,19350,20033km,26%,1
 CAR-07,68862,69628,0.7,0
 CAR-11,39910km,"41,811km",0.77,0
car-19,115825,115853,0.7,0
 CAR-29,102547km,"103,185km",24 %,0
CAR-24 ,"8,814km",10586km,0.31,0
CAR-19,"59,887 km","61,777 km",0.62,0
car-21,27795,"29,242km",0.27,0
car-09,"82,449 km","83,996km",0.99,0
CAR-24 ,"28,854km","29,165km",0.9,1
CAR-24 ,62958,64937km,82%,1
CAR-27 ,"74,056km",73693,45 %,1
CAR-04,54782,54927,10%,1
CAR 16,"85,767 km",87393km,8 %,0
CAR-05,"71,351km",71953km,0.5,1
CAR-08,"73,824km","74,848 km",0.4,0
 CAR-29,39101,"40,940km",44 %,0
CAR-27,77747km,78543km,0.81,0
car-05,87296,"88,804km",86 %,0
CAR-23,"93,262 km","94,611km",51%,0
CAR-10 ,"17,151 km","18,023km",10 %,0
CAR 22,117394,"118,479km",82 %,0
CAR 24,101392,"102,319 km",93%,0
CAR-06,60738,61321km,0.4,0
car-24,"116,405km",116137,66%,1
 CAR-26,43407,44785,0.79,1
CAR 07,"19,934km","21,365 km",16 %,0
 CAR-25,"117,939km",118764km,0.88,0
CAR-19 ,119444,"120,785 km",0.45,0
CAR 17,42497,43220,0.81,1
CAR-04,"117,283km","117,717km",19 %,0
CAR-09 ,"30,719km",32144,95%,0
CAR-12,"80,354km",81850,0.80,0
CAR 06,15019km,"16,366km",9%,1
CAR-25 ,66310,66454,13 %,0
car-21,"57,425km",57683,6%,0
car-09,12174km,13887,0.2,0
 CAR-11,78539km,79940km,50 %,1
 CAR-11,"88,548 km","89,475km",92 %,0
car-02,30498,30870km,80 %,1
 CAR-10,"118,944 km",120774km,56 %,0
CAR-18 ,38404km,39393km,0.2,1
CAR-04 ,"92,990 km",92954km,31%,0
CAR-14 ,"98,680 km",99811km,0.90,0
CAR 27,"119,390 km",120495km,17 %,0
car-24,14621km,16441,43 %,0
CAR-07,"89,020 km","89,366 km",94 %,1
car-06,117241,118850,0.11,0
CAR-04 ,"102,693 km","102,383km",12 %,0
CAR-07 ,33913km,35216,56%,0
car-01,"66,886km","67,959 km",27%,0
 CAR-09,"80,888km",81044,0.87,0
CAR-13,28734km,29830km,0.5,0
car-15,60761km,62042km,46%,0
CAR-08,10024,"10,526 km",0.86,1
 CAR-13,113953,114031km,97 %,0
CAR-26 ,"5,976km",7324,0.41,0
CAR-30 ,49415,51393km,92%,0
 CAR-11,27666km,"28,087 km",64 %,0
CAR-05,66100km,"67,732 km",0.8,0
 CAR-09,73224km,74889km,17 %,0
CAR-22,"7,592 km",8841km,63 %,0
car-22,"40,425 km",41420km,0.1,1
 CAR-25,20697,20740,0.57,0
CAR 28,64485km,"65,630km",0.76,0
CAR-12 ,"58,384km",58930km,0.61,1
car-13,95842,96364,88 %,1
